"name","filename.1","filename.2"
"Ex07.F2.1","Ex07.F2.1.1.fq.gz","Ex07.F2.1.2.fq.gz"
"Ex07.F2.2","Ex07.F2.2.1.fq.gz","Ex07.F2.2.2.fq.gz"
"Ex07.F2.3","Ex07.F2.3.1.fq.gz","Ex07.F2.3.2.fq.gz"
"Ex07.F2.4","Ex07.F2.4.1.fq.gz","Ex07.F2.4.2.fq.gz"
"Ex02.F2.8","Ex02.F2.8.1.fq.gz","Ex02.F2.8.2.fq.gz"
"Ex02.F2.1","Ex02.F2.1.1.fq.gz","Ex02.F2.1.2.fq.gz"
"Ex02.F2.2","Ex02.F2.2.1.fq.gz","Ex02.F2.2.2.fq.gz"
"Ex14A.F2.1","Ex14A.F2.1.1.fq.gz","Ex14A.F2.1.2.fq.gz"
"Ex02.F2.7","Ex02.F2.7.1.fq.gz","Ex02.F2.7.2.fq.gz"
"Ex08.F2.2","Ex08.F2.2.1.fq.gz","Ex08.F2.2.2.fq.gz"
"Ex14A.F2.2","Ex14A.F2.2.1.fq.gz","Ex14A.F2.2.2.fq.gz"
