****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 19x7379
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.058	Loglikelihood: -105877	(delta): 54769.5
2 (EM) 	Elapsed: 0.045	Loglikelihood: -98360.6	(delta): 7516.12
3 (EM) 	Elapsed: 0.048	Loglikelihood: -94074.6	(delta): 4285.97
4 (EM) 	Elapsed: 0.043	Loglikelihood: -90388.7	(delta): 3685.95
5 (EM) 	Elapsed: 0.043	Loglikelihood: -86938.9	(delta): 3449.81
Initial loglikelihood: -86938.9
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.265	Loglikelihood: -62905.4	(delta): 24033.5
2 (QN/Block) 	Elapsed: 0.267	Loglikelihood: -56513	(delta): 6392.41
3 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -54689.1	(delta): 1823.94
4 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -53856.1	(delta): 832.939
5 (QN/Block) 	Elapsed: 0.256	Loglikelihood: -53593.5	(delta): 262.66
6 (QN/Block) 	Elapsed: 0.264	Loglikelihood: -53402	(delta): 191.463
7 (QN/Block) 	Elapsed: 0.248	Loglikelihood: -53353.6	(delta): 48.4374
8 (QN/Block) 	Elapsed: 0.258	Loglikelihood: -53302.4	(delta): 51.1882
9 (QN/Block) 	Elapsed: 0.256	Loglikelihood: -53269.8	(delta): 32.6
10 (QN/Block) 	Elapsed: 0.255	Loglikelihood: -53248.1	(delta): 21.6969
11 (QN/Block) 	Elapsed: 0.25	Loglikelihood: -53227.7	(delta): 20.4252
12 (QN/Block) 	Elapsed: 0.264	Loglikelihood: -53210.6	(delta): 17.0837
13 (QN/Block) 	Elapsed: 0.257	Loglikelihood: -53205.1	(delta): 5.45036
14 (QN/Block) 	Elapsed: 0.26	Loglikelihood: -53195	(delta): 10.079
15 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -53141.7	(delta): 53.3835
16 (QN/Block) 	Elapsed: 0.272	Loglikelihood: -53030.1	(delta): 111.566
17 (QN/Block) 	Elapsed: 0.263	Loglikelihood: -53022.2	(delta): 7.91155
18 (QN/Block) 	Elapsed: 0.25	Loglikelihood: -53007.4	(delta): 14.8268
19 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -52918.5	(delta): 88.8878
20 (QN/Block) 	Elapsed: 0.355	Loglikelihood: -52889.7	(delta): 28.786
21 (QN/Block) 	Elapsed: 0.31	Loglikelihood: -52876.2	(delta): 13.5095
22 (QN/Block) 	Elapsed: 0.319	Loglikelihood: -52854.7	(delta): 21.4252
23 (QN/Block) 	Elapsed: 0.349	Loglikelihood: -52855.8	(delta): -1.10149
24 (QN/Block) 	Elapsed: 0.318	Loglikelihood: -52843.7	(delta): 12.1483
25 (QN/Block) 	Elapsed: 0.298	Loglikelihood: -52833.2	(delta): 10.5091
26 (QN/Block) 	Elapsed: 0.262	Loglikelihood: -52798.4	(delta): 34.7597
27 (QN/Block) 	Elapsed: 0.266	Loglikelihood: -52769.7	(delta): 28.7596
28 (QN/Block) 	Elapsed: 0.277	Loglikelihood: -52732.7	(delta): 36.9248
29 (QN/Block) 	Elapsed: 0.314	Loglikelihood: -52723	(delta): 9.71798
30 (QN/Block) 	Elapsed: 0.331	Loglikelihood: -52717.6	(delta): 5.45902
31 (QN/Block) 	Elapsed: 0.304	Loglikelihood: -52713	(delta): 4.56111
32 (QN/Block) 	Elapsed: 0.332	Loglikelihood: -52713	(delta): 0.00876137
33 (QN/Block) 	Elapsed: 0.289	Loglikelihood: -52706.3	(delta): 6.65788
34 (QN/Block) 	Elapsed: 0.298	Loglikelihood: -52705.2	(delta): 1.11115
35 (QN/Block) 	Elapsed: 0.294	Loglikelihood: -52709.7	(delta): -4.47787
36 (QN/Block) 	Elapsed: 0.258	Loglikelihood: -52711.2	(delta): -1.53421
37 (QN/Block) 	Elapsed: 0.264	Loglikelihood: -52711.3	(delta): -0.0768533
38 (QN/Block) 	Elapsed: 0.255	Loglikelihood: -52699.3	(delta): 12.0223
39 (QN/Block) 	Elapsed: 0.264	Loglikelihood: -52674.6	(delta): 24.6631
40 (QN/Block) 	Elapsed: 0.261	Loglikelihood: -52671.4	(delta): 3.26013
41 (QN/Block) 	Elapsed: 0.259	Loglikelihood: -52660.3	(delta): 11.1163
42 (QN/Block) 	Elapsed: 0.256	Loglikelihood: -52657.9	(delta): 2.32282
43 (QN/Block) 	Elapsed: 0.261	Loglikelihood: -52660.5	(delta): -2.52235
44 (QN/Block) 	Elapsed: 0.293	Loglikelihood: -52669.6	(delta): -9.16983
45 (QN/Block) 	Elapsed: 0.256	Loglikelihood: -52657.6	(delta): 12.0023
46 (QN/Block) 	Elapsed: 0.26	Loglikelihood: -52654.4	(delta): 3.26224
47 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -52650.7	(delta): 3.65703
48 (QN/Block) 	Elapsed: 0.317	Loglikelihood: -52651.1	(delta): -0.401876
49 (QN/Block) 	Elapsed: 0.33	Loglikelihood: -52640.3	(delta): 10.792
50 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -52639.4	(delta): 0.865421
51 (QN/Block) 	Elapsed: 0.28	Loglikelihood: -52633.2	(delta): 6.29055
52 (QN/Block) 	Elapsed: 0.287	Loglikelihood: -52634.5	(delta): -1.3777
53 (QN/Block) 	Elapsed: 0.279	Loglikelihood: -52637.1	(delta): -2.56941
54 (QN/Block) 	Elapsed: 0.299	Loglikelihood: -52632.9	(delta): 4.24439
55 (QN/Block) 	Elapsed: 0.259	Loglikelihood: -52662	(delta): -29.0943
56 (QN/Block) 	Elapsed: 0.264	Loglikelihood: -52657.1	(delta): 4.83172
57 (QN/Block) 	Elapsed: 0.267	Loglikelihood: -52642.1	(delta): 14.9772
58 (QN/Block) 	Elapsed: 0.29	Loglikelihood: -52588.8	(delta): 53.3892
59 (QN/Block) 	Elapsed: 0.381	Loglikelihood: -52568.5	(delta): 20.2814
60 (QN/Block) 	Elapsed: 0.375	Loglikelihood: -52560.4	(delta): 8.0822
61 (QN/Block) 	Elapsed: 0.433	Loglikelihood: -52545.8	(delta): 14.5534
62 (QN/Block) 	Elapsed: 0.379	Loglikelihood: -52531.8	(delta): 14.0002
63 (QN/Block) 	Elapsed: 0.345	Loglikelihood: -52530.1	(delta): 1.73049
64 (QN/Block) 	Elapsed: 0.435	Loglikelihood: -52522	(delta): 8.06097
65 (QN/Block) 	Elapsed: 0.335	Loglikelihood: -52521.9	(delta): 0.170086
66 (QN/Block) 	Elapsed: 0.329	Loglikelihood: -52529.4	(delta): -7.52453
67 (QN/Block) 	Elapsed: 0.313	Loglikelihood: -52454.4	(delta): 74.964
68 (QN/Block) 	Elapsed: 0.366	Loglikelihood: -52447.2	(delta): 7.20656
69 (QN/Block) 	Elapsed: 0.291	Loglikelihood: -52444.1	(delta): 3.13067
70 (QN/Block) 	Elapsed: 0.32	Loglikelihood: -52438.1	(delta): 6.04636
71 (QN/Block) 	Elapsed: 0.269	Loglikelihood: -52440.2	(delta): -2.11524
72 (QN/Block) 	Elapsed: 0.336	Loglikelihood: -52441.4	(delta): -1.19774
73 (QN/Block) 	Elapsed: 0.306	Loglikelihood: -52438.5	(delta): 2.9093
74 (QN/Block) 	Elapsed: 0.296	Loglikelihood: -52433.6	(delta): 4.878
75 (QN/Block) 	Elapsed: 0.309	Loglikelihood: -52427.5	(delta): 6.08275
76 (QN/Block) 	Elapsed: 0.276	Loglikelihood: -52423.6	(delta): 3.89361
77 (QN/Block) 	Elapsed: 0.387	Loglikelihood: -52431.6	(delta): -8.02005
78 (QN/Block) 	Elapsed: 0.497	Loglikelihood: -52424	(delta): 7.60611
79 (QN/Block) 	Elapsed: 0.264	Loglikelihood: -52418	(delta): 6.01648
80 (QN/Block) 	Elapsed: 0.307	Loglikelihood: -52424.6	(delta): -6.63402
81 (QN/Block) 	Elapsed: 0.327	Loglikelihood: -52419.8	(delta): 4.86608
82 (QN/Block) 	Elapsed: 0.282	Loglikelihood: -52417.7	(delta): 2.08038
83 (QN/Block) 	Elapsed: 0.321	Loglikelihood: -52415.3	(delta): 2.36748
84 (QN/Block) 	Elapsed: 0.25	Loglikelihood: -52414.8	(delta): 0.553664
85 (QN/Block) 	Elapsed: 0.255	Loglikelihood: -52421.9	(delta): -7.13332
86 (QN/Block) 	Elapsed: 0.307	Loglikelihood: -52433.7	(delta): -11.7598
87 (QN/Block) 	Elapsed: 0.259	Loglikelihood: -52439.7	(delta): -6.03723
88 (QN/Block) 	Elapsed: 0.253	Loglikelihood: -52428.5	(delta): 11.2351
89 (QN/Block) 	Elapsed: 0.293	Loglikelihood: -52435.3	(delta): -6.85637
90 (QN/Block) 	Elapsed: 0.267	Loglikelihood: -52431.8	(delta): 3.48364
91 (QN/Block) 	Elapsed: 0.255	Loglikelihood: -52425	(delta): 6.8115
92 (QN/Block) 	Elapsed: 0.286	Loglikelihood: -52417.6	(delta): 7.43229
93 (QN/Block) 	Elapsed: 0.3	Loglikelihood: -52411.7	(delta): 5.93637
94 (QN/Block) 	Elapsed: 0.244	Loglikelihood: -52408.1	(delta): 3.54515
95 (QN/Block) 	Elapsed: 0.243	Loglikelihood: -52415.3	(delta): -7.18213
